id,filename,promoting,colour,process,year,designer,orientation
,GDA_Exhibitions_A1_1-0049.jpg,Exhibition,Red,Screenprint,1971,,Portrait
,GDA_Exhibitions_A1_1-0052.jpg,Exhibition,Multicoloured,Screenprint,,,Landscape
,GDA_Exhibitions_A1_1-0054.jpg,Exhibition,Red,Screenprint,,,Portrait
,GDA_Exhibitions_A1_1-0056.jpg,Exhibition,White,Offset,,,Landscape
,GDA_Exhibitions_A1_1-0057.jpg,Exhibition,Red,Screenprint,,,Landscape
,GDA_Exhibitions_A1_1-0058.jpg,Exhibition,White,Offset,1969,,Portrait
,GDA_Exhibitions_A1_1-0059.jpg,Exhibition,White,Offset,,,Landscape
,GDA_Exhibitions_A1_1-0060.jpg,Exhibition,Pink,Screenprint,1996,,Landscape
,GDA_Exhibitions_A1_1-0061.jpg,Exhibition,White,Offset,1981,,Portrait
,GDA_Exhibitions_A1_1-0062.jpg,Exhibition,Blue,Offset,1984,,Portrait
,GDA_Exhibitions_A1_1-0063.jpg,Exhibition,Red,Offset,2004,Leonara Chan,Landscape
,GDA_Exhibitions_A1_1-0064.jpg,Exhibition,Red,Offset,1983,,Portrait
,GDA_Exhibitions_A1_1-0065.jpg,Exhibition,White,Offset,1983,,Portrait
,GDA_Exhibitions_A1_1-0066.jpg,Exhibition,Yellow,Offset,1984,Carlo Targalike,Portrait
,GDA_Exhibitions_A1_1-0067.jpg,Exhibition,White,Offset,2008,,Portrait
,GDA_Exhibitions_A1_1-0068.jpg,Exhibition,Red,Screenprint,,,Landscape
,GDA_Exhibitions_A1_1-0069.jpg,Exhibition,White,Hand,2010,,Portrait
,GDA_Exhibitions_A1_1-0070.jpg,Exhibition,White,Hand,2010,,Portrait
,GDA_Exhibitions_A1_1-0071.jpg,Exhibition,White,Hand,2010,,Portrait
,GDA_Exhibitions_A1_1-0072.jpg,Exhibition,White,Hand,2010,,Portrait
,GDA_Exhibitions_A1_1-0073.jpg,Exhibition,White,Hand,2010,,Portrait
,GDA_Exhibitions_A1_1-0074.jpg,Exhibition,Multicoloured,Offset,1958,Don Foster,Portrait
,GDA_Exhibitions_A1_1-0075.jpg,Exhibition,Blue,Screenprint,,,Landscape
,GDA_Exhibitions_A1_1-0076.jpg,Exhibition,Multicoloured,Offset,1969,,Portrait
,GDA_Exhibitions_A1_1-0077.jpg,Exhibition,Multicoloured,Offset,,,Landscape
,GDA_Exhibitions_A1_1-0078.jpg,Exhibition,Multicoloured,Offset,1980,,Portrait
,GDA_Exhibitions_A1_1-0079.jpg,Exhibition,Blue,Offset,,,Landscape
,GDA_Exhibitions_A1_1-0080.jpg,Exhibition,White,Offset,1983,,Portrait
,GDA_Exhibitions_A1_1-0081.jpg,Exhibition,White,Offset,1980,,Portrait
,GDA_Exhibitions_A1_1-0082.jpg,Exhibition,Yellow,Offset,,,Landscape
,GDA_Exhibitions_A1_1-0083.jpg,Exhibition,Yellow,Offset,,,Portrait
,GDA_Exhibitions_A1_1-0084.jpg,Exhibition,Blue,Offset,,,Portrait
,GDA_Exhibitions_A1_1-0085.jpg,Exhibition,White,Letterpress,,Matt Stillman / Micheal Parry,Landscape
,GDA_Exhibitions_A1_1-0086.jpg,Exhibition,White,Screenprint,1981,,Portrait
,GDA_Exhibitions_A1_1-0088.jpg,Exhibition,White,Screenprint,1998,,Portrait
,GDA_Exhibitions_A1_1-0089.jpg,Exhibition,Multicoloured,Offset,1988,Geoff Grandfield,Portrait
,GDA_Exhibitions_A1_1-0092.jpg,Exhibition,Pink,Offset,1990,Frank Phillipin,Portrait
,GDA_Exhibitions_A1_1-0095.jpg,Exhibition,Black,Screenprint,,John Watson,Portrait
,GDA_Exhibitions_A1_1-0097.jpg,Exhibition,White,Offset,,A&R,Portrait
,GDA_Exhibitions_A1_1-0098.jpg,Exhibition,White,Screenprint,1982,,Portrait
,GDA_Exhibitions_A1_1-0099.jpg,Exhibition,White,Screenprint,,Brian Padden,Portrait
,GDA_Exhibitions_A1_1-0100.jpg,Exhibition,Multicoloured,Hand,2001,,Portrait
,GDA_Exhibitions_A1_1-0101.jpg,Exhibition,Image,Offset,,,Portrait
,GDA_Exhibitions_A1_1-0102.jpg,Exhibition,Red,Offset,,,Portrait
,GDA_Exhibitions_A1_1-0103.jpg,Exhibition,Image,Offset,1980,,Portrait
,GDA_Exhibitions_A1_1-0104.jpg,Exhibition,Blue,Offset,,,Portrait
,GDA_Exhibitions_A1_1-0106.jpg,Exhibition,Black,Offset,1981,,Landscape
,GDA_Exhibitions_A1_1-0107.jpg,Exhibition,Black,Hand,1984,,Landscape
,GDA_Exhibitions_A1_1-0109.jpg,Exhibition,Pink,Screenprint,,,Landscape
,GDA_Exhibitions_A1_1-0110.jpg,Exhibition,Yellow,Screenprint,,,Landscape
,GDA_Exhibitions_A1_1-0111.jpg,Exhibition,Pink,Screenprint,,,Portrait
,GDA_Exhibitions_A1_1-0113.jpg,Exhibition,Red,Screenprint,1969,,Portrait
,GDA_Exhibitions_A1_1-0114.jpg,Exhibition,Yellow,Offset,1986,,Portrait
,GDA_Exhibitions_A1_1-0115.jpg,Exhibition,Image,Digital,2006,,Portrait
,GDA_Exhibitions_A1_1-0116.jpg,Exhibition,Black,Screenprint,1977,,Portrait
,GDA_Exhibitions_A1_1-0117.jpg,Exhibition,Red,Screenprint,1970,,Portrait
,GDA_Exhibitions_A1_1-0118.jpg,Exhibition,Black,Offset,,,Portrait
,GDA_Exhibitions_A1_1-0119.jpg,Exhibition,Black,Offset,1976,,Landscape
,GDA_Exhibitions_A1_1-0120.jpg,Exhibition,Blue,Screenprint,1978,,Landscape
,GDA_Exhibitions_A1_1-0121.jpg,Exhibition,Black,Offset,1984,,Landscape
,GDA_Exhibitions_A1_1-0122.jpg,Exhibition,Green,Offset,1968,,Portrait
,GDA_Exhibitions_A1_1-0123.jpg,Exhibition,Orange,Offset,1966,,Portrait
,GDA_Exhibitions_A1_1-0124.jpg,Exhibition,Black,Screenprint,,,Landscape
,GDA_Exhibitions_A1_1-0125.jpg,Exhibition,Blue,Screenprint,1966,,Landscape
,GDA_Exhibitions_A1_2-0002.jpg,Exhibition,Yellow,Offset,1985,,Landscape
,GDA_Exhibitions_A1_2-0003.jpg,Exhibition,Brown,Screenprint,1966,,Portrait
,GDA_Exhibitions_A1_2-0004.jpg,Exhibition,Image,Offset,1982,,Landscape
,GDA_Exhibitions_A1_2-0006.jpg,Exhibition,Blue,Offset,,,Portrait
,GDA_Exhibitions_A1_2-0007.jpg,Exhibition,Red,Offset,1986,,Landscape
,GDA_Exhibitions_A1_2-0009.jpg,Exhibition,Blue,Screenprint,1986,,Landscape
,GDA_Exhibitions_A1_2-0010.jpg,Exhibition,White,Offset,1985,,Portrait
,GDA_Exhibitions_A1_2-0011.jpg,Exhibition,Multicoloured,Screenprint,,,Portrait
,GDA_Exhibitions_A1_2-0012.jpg,Exhibition,White,Offset,,,Portrait
,GDA_Exhibitions_A1_2-0013.jpg,Exhibition,Blue,Offset,1997,,Portrait
,GDA_Exhibitions_A1_2-0014.jpg,Exhibition,Blue,Offset,1986,,Portrait
,GDA_Exhibitions_A1_2-0015.jpg,Exhibition,Blue,Offset,1993,,Landscape
,GDA_Exhibitions_A1_2-0016.jpg,Exhibition,Image,Offset,,,
,GDA_Exhibitions_A1_2-0017.jpg,Exhibition,Multicoloured,Offset,1982,Simon Ogden,Portrait
,GDA_Exhibitions_A1_2-0018.jpg,Exhibition,Blue,Offset,1992,,
,GDA_Exhibitions_A1_2-0019.jpg,Exhibition,Image,Offset,1976,,Portrait
,GDA_Exhibitions_A1_2-0020.jpg,Exhibition,Blue,Offset,,,Portrait
,GDA_Exhibitions_A1_2-0021.jpg,Exhibition,Multicoloured,Offset,1986,,Portrait
,GDA_Exhibitions_A1_2-0022.jpg,Exhibition,Black,Offset,,,Portrait
,GDA_Exhibitions_A1_2-0023.jpg,Exhibition,Blue,Offset,1984,,Portrait
,GDA_Exhibitions_A1_2-0024.jpg,Exhibition,Yellow,Offset,,,Portrait
,GDA_Exhibitions_A1_2-0026.jpg,Exhibition,Yellow,Offset,,,Portrait
,GDA_Exhibitions_A1_2-0027.jpg,Exhibition,Image,Digital,2007,,Landscape
,GDA_Exhibitions_A1_2-0028.jpg,Exhibition,Multicoloured,Offset,1979,,Portrait
,GDA_Exhibitions_A1_2-0029.jpg,Exhibition,Blue,Screenprint,,,Landscape
,GDA_Exhibitions_A1_2-0030.jpg,Exhibition,Red,Screenprint,,John Diebel,Portrait
,GDA_Exhibitions_A1_2-0031.jpg,Exhibition,Image,Offset,,,Portrait
,GDA_Exhibitions_A1_2-0032.jpg,Exhibition,Multicoloured,Screenprint,1971,,Landscape
,GDA_Exhibitions_A1_2-0033.jpg,Exhibition,Multicoloured,Offset,1985,Jeremy Pearce,Portrait
,GDA_Exhibitions_A1_2-0034.jpg,Exhibition,White,Screenprint,1980,,Portrait
,GDA_Exhibitions_A1_2-0035.jpg,Exhibition,Blue,Screenprint,,,Portrait
,GDA_Exhibitions_A1_2-0037.jpg,Exhibition,Red,Screenprint,1968,,Portrait
,GDA_Exhibitions_A1_2-0038.jpg,Exhibition,Blue,Screenprint,1967,,Portrait
,GDA_Exhibitions_A1_2-0039.jpg,Exhibition,Gold,Letterpress,,,Portrait
,GDA_Exhibitions_A1_2-0040.jpg,Exhibition,Red,Screenprint,1963,,Portrait
,GDA_Exhibitions_A1_2-0041.jpg,Exhibition,Multicoloured,Offset,1986,Abrham Games,Portrait
,GDA_Exhibitions_A1_2-0042.jpg,Exhibition,Blue,Offset,1990,Jeanne Verdoux,Portrait
,GDA_Exhibitions_A1_2-0043.jpg,Exhibition,Multicoloured,Screenprint,1962,,Portrait
,GDA_Exhibitions_A1_2-0044.jpg,Exhibition,Red,Offset,,,Portrait
,GDA_Exhibitions_A1_2-0045.jpg,Exhibition,Image,Offset,,,Portrait
,GDA_Exhibitions_A1_2-0046.jpg,Exhibition,Red,Offset,2000,,Portrait
,GDA_Exhibitions_A1_2-0047.jpg,Exhibition,Black,Screenprint,,,Portrait
,GDA_Exhibitions_A1_2-0048.jpg,Exhibition,Multicoloured,,1982,,Landscape
,GDA_Exhibitions_A1_2-0049.jpg,Exhibition,Image,,1983,,Portrait
,GDA_Exhibitions_A1_2-0050.jpg,Exhibition,Brown,Screenprint,1967,,Portrait
,GDA_Exhibitions_A1_2-0051.jpg,Exhibition,Blue,Offset,1986,,Portrait
,GDA_Exhibitions_A1_2-0052.jpg,Exhibition,Multicoloured,Offset,1976,,Landscape
,GDA_Exhibitions_A1_2-0054.jpg,Exhibition,Purple,Offset,1967,,Portrait
,GDA_Exhibitions_A1_2-0055.jpg,Exhibition,Brown,,,,Portrait
,GDA_Exhibitions_A1_2-0056.jpg,Exhibition,Green,Screenprint,,,Portrait
,GDA_Exhibitions_A1_2-0057.jpg,Exhibition,Purple,Screenprint,1968,,Portrait
,GDA_Exhibitions_A1_2-0058.jpg,Exhibition,Orange,Screenprint,1966,,Portrait
,GDA_Exhibitions_A1_2-0059.jpg,Exhibition,Multicoloured,Screenprint,1981,,Landscape
,GDA_Exhibitions_A1_2-0060.jpg,Exhibition,Red,Screenprint,,,Portrait
,GDA_Exhibitions_A1_2-0061.jpg,Exhibition,Brown,Offset,1972,,Portrait
,GDA_Exhibitions_A1_2-0062.jpg,Exhibition,Multicoloured,Offset,,,Landscape
,GDA_Exhibitions_A1_2-0063.jpg,Exhibition,Orange,Letterpress,,,Portrait
,GDA_Exhibitions_A1_2-0064.jpg,Exhibition,White,Letterpress,1970,,Portrait
,GDA_Exhibitions_A1_2-0065.jpg,Exhibition,Green,Offset, ,Larry Carter,Portrait
,GDA_Exhibitions_A1_2-0066.jpg,Exhibition,Black,Offset,1964,,Landscape
,GDA_Exhibitions_A1_2-0067.jpg,Exhibition,Multicoloured,Offset,,,Portrait
,GDA_Exhibitions_A1_2-0068.jpg,Exhibition,Blue,Offset,1981,,Portrait
,GDA_Exhibitions_A1_2-0069.jpg,Exhibition,Black,Offset,1961,Allan Marshall,Portrait
,GDA_Exhibitions_A1_2-0070.jpg,Exhibition,Blue,Offset,,Gary Rowland,Portrait
,GDA_Exhibitions_A1_2-0071.jpg,Exhibition,Red,Offset,1961,,Portrait
,GDA_Exhibitions_A1_2-0072.jpg,Exhibition,Multicoloured,Offset,,The Thunder Jockeys,Portrait
,GDA_Exhibitions_A1_2-0073.jpg,Exhibition,Pink,,,,Portrait
,GDA_Exhibitions_A1_2-0074.jpg,Exhibition,Red,Screenprint,,,Portrait
,GDA_Exhibitions_A1_2-0075.jpg,Exhibition,Yellow,Offset,1971,Dave Freeman,Portrait
,GDA_Exhibitions_A1_2-0076.jpg,Exhibition,Yellow,Digital,2010,Jack Gilby,Portrait
,GDA_Exhibitions_A1_2-0078.jpg,Exhibition,Red,Offset,1971,,Portrait
,GDA_Exhibitions_A1_2-0079.jpg,Exhibition,Image,Offset,1971,,Portrait
,GDA_Exhibitions_A1_2-0080.jpg,Exhibition,Image,Offset,1996,Graphic Thought Facility / Russell Barns,Portrait
,GDA_Exhibitions_A1_2-0083.jpg,Exhibition,Blue,Screenprint,,,Portrait
,GDA_Exhibitions_A1_2-0084.jpg,Exhibition,White,Screenprint,1993,Al Fuller,Portrait
,GDA_Exhibitions_A1_2-0085.jpg,Exhibition,Green,Offset,1993,Barry Vaud,Portrait
,GDA_Exhibitions_A1_2-0086.jpg,Exhibition,Pink,Offset,1999,Frank Phillippin,Portrait
,GDA_Exhibitions_A1_2-0087.jpg,Exhibition,Red,Offset,,,Portrait
,GDA_Exhibitions_A1_2-0088.jpg,Exhibition,Brown,Offset,,,Portrait
,GDA_Exhibitions_A1_2-0089.jpg,Exhibition,Yellow,Offset,1952,Bailey,Portrait
,GDA_Exhibitions_A1_2-0091.jpg,Exhibition,Yellow,Screenprint,,,Landscape
,GDA_Exhibitions_A1_2-0092.jpg,Exhibition,Gold,Screenprint,,John Watson,Portrait
,GDA_Exhibitions_A1_2-0093.jpg,Exhibition,White,Screenprint,,,Portrait
,GDA_Exhibitions_A1_2-0094.jpg,Exhibition,Image,Offset,1991,Ian Vickers,Portrait
,GDA_Exhibitions_A1_2-0095.jpg,Exhibition,Red,Offset,,Angus Hyland,Portrait
,GDA_Exhibitions_A1_2-0096.jpg,Exhibition,Image,Offset,1994,,Portrait
,GDA_Exhibitions_A1_2-0097.jpg,Exhibition,Pink,Offset,1999,Tickles,Portrait
,GDA_Exhibitions_A1_2-0098.jpg,Exhibition,White,Offset,1995,,Portrait
,GDA_Exhibitions_A1_2-0099.jpg,Exhibition,Green,Screenprint,1999,,Portrait
,GDA_Exhibitions_A1_2-0100.jpg,Exhibition,Green,Screenprint,,,Portrait
,GDA_Exhibitions_A1_2-0101.jpg,Exhibition,Blue,Offset,1994,Carlo Targalia,Portrait
,GDA_Exhibitions_A1_2-0102.jpg,Exhibition,Red,Screenprint,1998,,Portrait
,GDA_Exhibitions_A1_2-0103.jpg,Exhibition,Red,Offset,2000,,Portrait
,GDA_Exhibitions_A1_2-0104.jpg,Exhibition,White,Offset,1999,,Landscape
,GDA_Exhibitions_A1_2-0106.jpg,Exhibition,White,Offset,1993,Jesper Stahl / Gary Lockton,Portrait
,GDA_Exhibitions_A1_2-0107.jpg,Exhibition,White,Digital,2009,,Portrait
,GDA_Exhibitions_A1_2-0108.jpg,Exhibition,Red,Screenprint,1968,,Portrait
,GDA_Exhibitions_A1_2-0109.jpg,Exhibition,Multicoloured,Offset,1991,,Portrait
,GDA_Exhibitions_A1_2-0110.jpg,Exhibition,Multicoloured,Offset,1994,A Kimonski,Portrait
,GDA_Exhibitions_A1_2-0111.jpg,Exhibition,Brown,Screenprint,1972,,Portrait
,GDA_Film_Society_A1_1-0001.jpg,Film Society,Pink,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0002.jpg,Film Society,Green,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0003.jpg,Film Society,Green,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0004.jpg,Film Society,Orange,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0005.jpg,Film Society,Orange,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0006.jpg,Film Society,White,Screenprint,,,Landscape
,GDA_Film_Society_A1_1-0007.jpg,Film Society,White,Screenprint,1960,,Landscape
,GDA_Film_Society_A1_1-0008.jpg,Film Society,White,Screenprint,1964,,Landscape
,GDA_Film_Society_A1_1-0009.jpg,Film Society,White,Screenprint,,,Portrait
,GDA_Film_Society_A1_1-0010.jpg,Film Society,Red,Screenprint,1963,Richard Doust,Landscape
