id,filename,title,promoting,colour,process,year,designer,
GDA_Exhibitions_A1_2-0011,GDA_Exhibitions_A1_2-0011.jpg,Painting and Printmaking Degree Shows,Exhibition,Multicoloured,Screenprint,,,
GDA_Exhibitions_A1_2-0012,GDA_Exhibitions_A1_2-0012.jpg,Great Expectations,Exhibition,White,Offset,,,
GDA_Exhibitions_A1_2-0013,GDA_Exhibitions_A1_2-0013.jpg,Degree Show,Exhibition,Blue,Offset,1997,,
GDA_Exhibitions_A1_2-0014,GDA_Exhibitions_A1_2-0014.jpg,Bryan Kneale Sculpture 1960-83 & Bone Drawings 1983-86,Exhibition,Blue,Offset,1986,,
GDA_Exhibitions_A1_2-0015,GDA_Exhibitions_A1_2-0015.jpg,Gate 14,Exhibition,Blue,Offset,1993,,
GDA_Exhibitions_A1_2-0016,GDA_Exhibitions_A1_2-0016.jpg,Printmaking Degree Show,Exhibition,Image,Offset,,,
GDA_Exhibitions_A1_2-0017,GDA_Exhibitions_A1_2-0017.jpg,Painting Degree Show,Exhibition,Multicoloured,Offset,1982,Simon Ogden,
GDA_Exhibitions_A1_2-0018,GDA_Exhibitions_A1_2-0018.jpg,Zillij The Art of Moroccan Ceramics,Exhibition,Blue,Offset,1992,,
GDA_Exhibitions_A1_2-0019,GDA_Exhibitions_A1_2-0019.jpg,Painting and Printmaking Degree Shows,Exhibition,Image,Offset,1976,,
GDA_Exhibitions_A1_2-0020,GDA_Exhibitions_A1_2-0020.jpg,Brazilian Art Today,Exhibition,Blue,Offset,,,
GDA_Exhibitions_A1_2-0021,GDA_Exhibitions_A1_2-0021.jpg,Eduardo Paolozzi,Exhibition,Multicoloured,Offset,1986,,
GDA_Exhibitions_A1_2-0022,GDA_Exhibitions_A1_2-0022.jpg,A. Craft ,Exhibition,Black,Offset,,,
GDA_Exhibitions_A1_2-0023,GDA_Exhibitions_A1_2-0023.jpg,Printmaking Degree Show,Exhibition,Blue,Offset,1984,,
GDA_Exhibitions_A1_2-0024,GDA_Exhibitions_A1_2-0024.jpg,Degree Show,Exhibition,Yellow,Offset,,,
GDA_Exhibitions_A1_2-0026,GDA_Exhibitions_A1_2-0026.jpg,Industrial Design Exhibition,Exhibition,Yellow,Offset,,,
GDA_Exhibitions_A1_2-0027,GDA_Exhibitions_A1_2-0027.jpg,Interim Show,Exhibition,Image,Digital,2007,,
GDA_Exhibitions_A1_2-0028,GDA_Exhibitions_A1_2-0028.jpg,Painting and Printmaking Degree Shows,Exhibition,Multicoloured,Offset,1979,,
GDA_Exhibitions_A1_2-0029,GDA_Exhibitions_A1_2-0029.jpg,Recent Sculptors from the RCA,Exhibition,Blue,Screenprint,,,
GDA_Exhibitions_A1_2-0030,GDA_Exhibitions_A1_2-0030.jpg,Industrial Design Exhibition,Exhibition,Red,Screenprint,,John Diebel,
GDA_Exhibitions_A1_2-0031,GDA_Exhibitions_A1_2-0031.jpg,First Year Printmaking and Sculpture Exhibition,Exhibition,Image,Offset,,,
GDA_Exhibitions_A1_2-0032,GDA_Exhibitions_A1_2-0032.jpg,Graphic Design Degree Show,Exhibition,Multicoloured,Screenprint,1971,,
GDA_Exhibitions_A1_2-0033,GDA_Exhibitions_A1_2-0033.jpg,Graduates,Exhibition,Multicoloured,Offset,1985,Jeremy Pearce,
GDA_Exhibitions_A1_2-0035,GDA_Exhibitions_A1_2-0035.jpg,Coming Events Printmaking Painting & Sculpture,Exhibition,Blue,Screenprint,,,
GDA_Exhibitions_A1_2-0037,GDA_Exhibitions_A1_2-0037.jpg,Paintings by Stanford Steele,Exhibition,Red,Screenprint,1968,,
GDA_Exhibitions_A1_2-0038,GDA_Exhibitions_A1_2-0038.jpg,Vintage 1967,Exhibition,Blue,Screenprint,1967,,
GDA_Exhibitions_A1_2-0039,GDA_Exhibitions_A1_2-0039.jpg,Exhibition of Paintings,Exhibition,Gold,Letterpress,,,
GDA_Exhibitions_A1_2-0040,GDA_Exhibitions_A1_2-0040.jpg,Graphic Design Diploma Exhibition,Exhibition,Red,Screenprint,1963,,
GDA_Exhibitions_A1_2-0041,GDA_Exhibitions_A1_2-0041.jpg,Hamstead Artists,Exhibition,Multicoloured,Offset,1986,Abrham Games,
GDA_Exhibitions_A1_2-0042,GDA_Exhibitions_A1_2-0042.jpg,Degree Show,Exhibition,Blue,Offset,1990,Jeanne Verdoux,
GDA_Exhibitions_A1_2-0043,GDA_Exhibitions_A1_2-0043.jpg,Open Week,Exhibition,Multicoloured,Screenprint,1962,,
GDA_Exhibitions_A1_2-0044,GDA_Exhibitions_A1_2-0044.jpg,Windows for Coventry,Exhibition,Red,Offset,,,
GDA_Exhibitions_A1_2-0045,GDA_Exhibitions_A1_2-0045.jpg,Printmaking and Sculpture,Exhibition,Image,Offset,,,
GDA_Exhibitions_A1_2-0046,GDA_Exhibitions_A1_2-0046.jpg,The Show,Exhibition,Red,Offset,2000,,
GDA_Exhibitions_A1_2-0047,GDA_Exhibitions_A1_2-0047.jpg,Six Ex RCA,Exhibition,Black,Screenprint,,,
GDA_Exhibitions_A1_2-0048,GDA_Exhibitions_A1_2-0048.jpg,Degree Show,Exhibition,Multicoloured,,1982,,
GDA_Exhibitions_A1_2-0049,GDA_Exhibitions_A1_2-0049.jpg,Degree Show,Exhibition,Image,,1983,,
GDA_Exhibitions_A1_2-0050,GDA_Exhibitions_A1_2-0050.jpg,Vintage 1967,Exhibition,Brown,Screenprint,1967,,
GDA_Exhibitions_A1_2-0051,GDA_Exhibitions_A1_2-0051.jpg,Degree Show,Exhibition,Blue,Offset,1986,,
GDA_Exhibitions_A1_2-0052,GDA_Exhibitions_A1_2-0052.jpg,Xlll Printmakers,Exhibition,Multicoloured,Offset,1976,,
GDA_Exhibitions_A1_2-0054,GDA_Exhibitions_A1_2-0054.jpg,Young Contemporaries,Exhibition,Purple,Offset,1967,,
GDA_Exhibitions_A1_2-0055,GDA_Exhibitions_A1_2-0055.jpg,Young Contemporaries,Exhibition,Brown,,,,
GDA_Exhibitions_A1_2-0056,GDA_Exhibitions_A1_2-0056.jpg,Young Contemporaries,Exhibition,Green,Screenprint,,,
GDA_Exhibitions_A1_2-0057,GDA_Exhibitions_A1_2-0057.jpg,Young Contemporaries,Exhibition,Purple,Screenprint,1968,,
GDA_Exhibitions_A1_2-0058,GDA_Exhibitions_A1_2-0058.jpg,Young Contemporaries,Exhibition,Orange,Screenprint,1966,,
GDA_Exhibitions_A1_2-0059,GDA_Exhibitions_A1_2-0059.jpg,Fashion,Exhibition,Multicoloured,Screenprint,1981,,
GDA_Exhibitions_A1_2-0060,GDA_Exhibitions_A1_2-0060.jpg,Young Contemporaries,Exhibition,Red,Screenprint,,,
GDA_Exhibitions_A1_2-0061,GDA_Exhibitions_A1_2-0061.jpg,Modern French Tapestries,Exhibition,Brown,Offset,1972,,
GDA_Exhibitions_A1_2-0062,GDA_Exhibitions_A1_2-0062.jpg,Peter Logans Mechanical Ballet,Exhibition,Multicoloured,Offset,,,
GDA_Exhibitions_A1_2-0063,GDA_Exhibitions_A1_2-0063.jpg,An Exhibition of Architectural Models,Exhibition,Orange,Letterpress,,,
GDA_Exhibitions_A1_2-0064,GDA_Exhibitions_A1_2-0064.jpg,Fifty Odd Posters,Exhibition,White,Letterpress,1970,,
